,,Access,,,Discovery,,,Extracts Provided / Tables Created,,,Validation,,,Extracts / Tables Approved,,,Playbook/Documentation,,,
Application,Current Week,Target Week,Actual Week,Progress,Target Week,Actual Week,Progress,Target Week,Actual Week,Progress,Target Week,Actual Week,Progress,Target Week,Actual Week,Progress,Target Week,Actual Week,Progress,Risks/Issues
Oracle ATP,5,11,,,11,,,12,,,12,,,13,,,13,,,Access risk
Great Plains,5,3,3,100%,4,4,100%,5,5,100%,6,,,7,,,7,,,
IQGeo/GESW,5,5,5,100%,5,5,100%,6,5,100%,6,5,100%,7,6,100%,7,6,100%,No EUR data found.
IQGeo/Network Manager/My World (GIS)/ESRI,5,5,5,100%,5,5,100%,6,,,6,,,7,,,7,,,Access risk
Medallia,5,8,,,8,,,9,,,9,,,10,,,10,,,
Metasolv/M6,5,6,,,6,,,7,,,8,,,9,,,9,,,Access risk
Nautobot,5,20,,,20,,,21,,,21,,,22,,,22,,,
OneStream,5,17,,,17,,,18,,,18,,,19,,,19,,,Access risk
Oracle EBS (History),5,11,,,11,,,12,,,12,,,13,,,13,,,
Oracle Fusion,5,4,4,100%,5,,50%,6,,,7,,,8,,,8,,,Access risk
Salesforce (SF1),5,3,,50%,5,,50%,6,,,6,,,7,,,7,,,
Salesforce (SF2),5,20,,50%,4,,50%,5,,,5,,,6,,,6,,,
"ServiceNow CMDB, ITSM (ZSM)",5,8,,,8,,,9,,,9,,,10,,,10,,,
Sirion,5,20,,,20,,,21,,,21,,,22,,,22,,,
TEOCO,5,17,,,17,,,18,,,18,,,19,,,19,,,Access risk
Workday,5,4,4,100%,4,4,100%,5,5,100%,6,,,7,,,7,,,
xMatters,5,14,,,14,,,15,,,15,,,16,,,16,,,
zDAF Visualizations,5,14,,,14,,,15,,,15,,,16,,,16,,,
ZDS,5,20,,,20,,,21,,,21,,,22,,,22,,,
