,,Access,,,Discovery,,,Extracts Provided / Tables Created,,,Validation,,,Extracts / Tables Approved,,,Playbook/Documentation,,,
Application,Current Week,Target Week,Actual Week,Progress,Target Week,Actual Week,Progress,Target Week,Actual Week,Progress,Target Week,Actual Week,Progress,Target Week,Actual Week,Progress,Target Week,Actual Week,Progress,Risks/Issues
Oracle ATP,11,11,10,100%,11,11,100%,12,11,100%,14,,,15,,,15,,,
Great Plains,11,3,3,100%,4,4,100%,5,5,100%,13,,75%,14,,75%,14,,,Missing records provided and we're back to validation.
IQGeo/GESW,11,5,5,100%,5,5,100%,6,5,100%,6,5,100%,7,5,100%,7,5,100%,No EUR data found.
IQGeo/Network Manager/My World (GIS)/ESRI,11,5,5,100%,5,5,100%,6,6,100%,11,,50%,12,,50%,12,,,
Medallia,11,8,6,100%,8,9,100%,9,9,100%,13,,,14,,,14,,,
Metasolv/M6,11,6,8,100%,6,9,100%,7,9,100%,13,,,14,,,14,,,
Netcracker,11,18,,0%,18,,,19,,,19,,,20,,,20,,,Uncertainty if in scope or not
OneStream,11,16,,0%,16,,,17,,,18,,,19,,,19,,,Don't have a clear path to accessing all data.
Oracle EBS (History),11,11,6,100%,13,,,14,,,16,,,17,,,17,,,
Oracle Fusion,11,4,4,100%,5,7,100%,6,7,100%,13,,50%,14,,50%,14,,,
Salesforce (SF1),11,3,7,100%,5,9,100%,6,9,100%,12,,50%,13,,50%,13,,,
Salesforce (SF2),11,18,,0%,18,,,19,,,19,,,20,,,20,,,
"ServiceNow CMDB, ITSM (ZSM)",11,12,,50%,12,,75%,14,,15%,16,,,17,,,17,,,Still loading tables.
Sirion,11,18,,0%,18,,,19,,,19,,,20,,,20,,,
TEOCO,11,15,,50%,15,,,16,,,17,,,18,,,18,,,Don't have a clear path to accessing all data.
Workday,11,4,4,100%,4,4,100%,5,5,100%,12,,90%,13,,90%,13,,,
xMatters,11,13,,25%,13,,25%,14,,,16,,,17,,,17,,,
zDAF Visualizations,11,14,7,100%,14,9,100%,15,9,100%,11,11,100%,12,11,100%,12,,,
ZDS,11,17,,25%,17,,,18,,,19,,,20,,,20,,,Uncertainty if in scope or not
